human_label	avg_label_score	orig_text	processed_text	perception_scores
1	1.0	@foodfromthesky Hi! I'm curious as to what happened to your growing space in crouch end? Is it just empty?!	@foodfromthesky hi i'm curious as to what happened to your growing space in crouch end is it just empty	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	@JohnMayer No DSM shows. #sadness	@johnmayer no dsm shows #sadness	0.0 0.0 0.0 0.0 0.0
1	1.0	If not for GZ, #Trayvon would be alive right this second... Smoking a bowl and tweeting about "bitches and hoes". Such a nice kid he was...	if not for gz #trayvon would be alive right this second smoking a bowl and tweeting about bitches and hoes such a nice kid he was	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	@MTBornnard it's got good mojo for sure. Paybacks a bitch	@mtbornnard it's got good mojo for sure paybacks a bitch	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.3333
1	1.0	I broke baby outta his thug stage n turned him into a pussy &#128514; , it was hard but I did it &#128129;&#128537; now he show more feelings than a lit bit	i broke baby outta his thug stage n turned him into a pussy &#128514 it was hard but i did it &#128129&#128537 now he show more feelings than a lit bit	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Not even proper sentences? Are you currently in an exam?	not even proper sentences are you currently in an exam	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	You could specify whether you need an introduction on applied statistics, or one on (theoretical) statistical inference. I.e., do you want the framework of testing, regression and ANOVA explained or do you want to know what the central limit theorem and the inequality of Chebiyshev have to do with the weak law of large numbers?	you could specify whether you need an introduction on applied statistics or one on (theoretical) statistical inference ie do you want the framework of testing regression and anova explained or do you want to know what the central limit theorem and the inequality of chebiyshev have to do with the weak law of large numbers	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	<url> is brand new and may need some attention. I thought you might be just the person who can help get that article at least secured against SPOD-attacks?	<url> is brand new and may need some attention i thought you might be just the person who can help get that article at least secured against spod-attacks	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	I will understand if you decline, but would very much like you to accept.  May I nominate you?	i will understand if you decline but would very much like you to accept may i nominate you	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0	1.0	I think this is off topic but I'm not 100%. Any thoughts?	i think this is off topic but i'm not 100% any thoughts	0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0
1	1.0	Hi - how's it going?  Do you need more time?	hi - how's it going do you need more time	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Am I indeed "dishonest" by responding to you?  Is <url>  correct?	am i indeed dishonest by responding to you is <url> correct	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	I understand that *part* of the problem behind using cooking oil is that it goes bad and can smell faintly like, well, rotting food. Why does cooking oil do this and not chain lube?	i understand that *part* of the problem behind using cooking oil is that it goes bad and can smell faintly like well rotting food why does cooking oil do this and not chain lube	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0	1.0	<person> I find this conversation remarkable given that you have twice opted to edit war over referencing format to the detriment of an article's quality in the last 24 hours on <url>. What gives?	<person> i find this conversation remarkable given that you have twice opted to edit war over referencing format to the detriment of an article's quality in the last 24 hours on <url> what gives	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6667 0.6667
0	1.0	It is an obvious and strongly followed point that april fools jokes ''should not disrupt the running of the wiki''. Could you explain why the HELLS you coated a dozen users' pages with pictures of jimbo's ugly bearded fizzogg?	it is an obvious and strongly followed point that april fools jokes ''should not disrupt the running of the wiki'' could you explain why the hells you coated a dozen users' pages with pictures of jimbo's ugly bearded fizzogg	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.3333 0.6667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Where did you get the file from? What is the name/extension of the file?	where did you get the file from what is the name/extension of the file	0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	IMDB calls her Ethyl, not Ethel. Which is it?	imdb calls her ethyl not ethel which is it	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	How about this for a novel solution?  The next time a banned editor posts something to your page, why not delete it yourself with an edit summary of "Sorry, I'm topic-banned from discussing this"?	how about this for a novel solution the next time a banned editor posts something to your page why not delete it yourself with an edit summary of sorry i'm topic-banned from discussing this	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Corrections, make that four terms: I pick a car and swap, I pick a goat and swap, I pick a car and do not swap, I pick a goat and do not swap. Who cares about doors or door numbers?	corrections make that four terms: i pick a car and swap i pick a goat and swap i pick a car and do not swap i pick a goat and do not swap who cares about doors or door numbers	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	As A Rumor of Angels reveals itself to be a sudsy tub of supernatural hokum , not even Ms. Redgrave's noblest efforts can redeem it from hopeless sentimentality .	as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum not even ms redgrave's noblest efforts can redeem it from hopeless sentimentality	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.3333 0.3333 0.3333 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	This is a shameless sham , calculated to cash in on the popularity of its stars .	this is a shameless sham calculated to cash in on the popularity of its stars	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Even horror fans will most likely not find what they're seeking with Trouble Every Day ; the movie lacks both thrills and humor .	even horror fans will most likely not find what they're seeking with trouble every day the movie lacks both thrills and humor	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	@Amber02150 Good morning! Happy winter day. :)	@amber02150 good morning happy winter day :)	0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	@mrjamesob @LBC  snowflake random such a funny man never a dull moment brilliant	@mrjamesob @lbc snowflake random such a funny man never a dull moment brilliant	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	@BernadetteAlly cute smile!	@bernadetteally cute smile	0.0 0.0 0.0
1	1.0	!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;	rt @shenikaroberts: the shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Jealousy is such a bitch.	jealousy is such a bitch	0.3333 0.3333 0.3333 0.3333 0.3333
1	1.0	A 50 dollar card make a young nicca go hard .. Throw in a cell phone i can get you left on the yard!	a 50 dollar card make a young nicca go hard throw in a cell phone i can get you left on the yard	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	@Patsfanjoe32: @d_palomino52 I think worst advice I gave you was  don't be a pussy and speed up" lol"	@patsfanjoe32: @d_palomino52 i think worst advice i gave you was don't be a pussy and speed up lol	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	I despair at the mouth foaming hostility &amp; dishonesty of those in the Leave camp, &amp; we should expose that.	i despair at the mouth foaming hostility &amp dishonesty of those in the leave camp &amp we should expose that	0.0 0.3333 0.0 0.0 0.0 0.0 0.3333 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	@ProfessorF @Mediaite @law_newz Childish temper #tantrums are all the left has left. :)	@professorf @mediaite @law_newz childish temper #tantrums are all the left has left :)	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	@hatzepueh and don't call him creepy, he's the most handsome, adorable and nicest shark ever  ok Zora, buuuuuut he looks like a shark	@hatzepueh and don't call him creepy he's the most handsome adorable and nicest shark ever ok zora buuuuuut he looks like a shark	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0	1.0	Been at work for not even 4 hours and I've thrown boiling tea everywhere, smashed a mug, smashed a milk jug and sliced my finger open	been at work for not even 4 hours and i've thrown boiling tea everywhere smashed a mug smashed a milk jug and sliced my finger open	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6667 0.3333 0.0 0.0 0.6667 0.0 0.0 0.6667 0.0 0.0 0.0 0.0 0.6667 0.0 0.6667 0.3333
1	1.0	*on a lighter note*GG, Nkaissery &amp; Total Man? The rate at which Jubilee is losing these votes!!	*on a lighter note*gg nkaissery &amp total man the rate at which jubilee is losing these votes	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Lost my appetite for the past 5 days and I swear I already lost 3 pounds #depressing #at #least #i #will #be #skinny #for #pride #weekend	lost my appetite for the past 5 days and i swear i already lost 3 pounds #depressing #at #least #i #will #be #skinny #for #pride #weekend	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0	1.0	@BorisJohnson unhappy about the cost of leaving the EU ? If only you had published your letter outlining the reasons to stay instead. Idiot.	@borisjohnson unhappy about the cost of leaving the eu if only you had published your letter outlining the reasons to stay instead idiot	0.0 0.6667 0.0 0.0 0.6667 0.0 0.0 0.0 0.0 0.3333 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
1	1.0	It's rained every day since June 30. That's 13 #dreary, #soggy days in a row. #auckland	it's rained every day since june 30 that's 13 #dreary #soggy days in a row #auckland	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
