pred_class	pred_prob	raw_input	attribution_scores
1	0.00	[CLS] @ shi ##be ##x ##d happy birthday ! ! ! you are one of my favorite content creator ! i hope you have a wonderful birthday ! ! ! ! ! ! [SEP]	0.00 0.18 -0.20 -0.07 -0.05 0.16 -0.03 -0.27 0.03 0.07 0.08 0.02 -0.13 0.04 -0.05 -0.07 -0.03 -0.12 -0.04 0.00 -0.09 -0.15 0.14 -0.12 0.08 -0.12 -0.52 -0.03 0.04 0.06 0.37 0.50 0.11 0.00
1	0.00	[CLS] @ ma _ bis ##son @ around ##ther ##ings @ la ##20 ##24 ' felt our soul ' ! hilarious ! [SEP]	0.00 -0.03 -0.87 0.08 0.06 0.16 -0.04 0.08 0.07 0.11 -0.01 -0.03 -0.10 -0.01 -0.05 -0.05 -0.17 0.09 -0.17 0.12 -0.07 0.29 0.00
1	0.05	[CLS] woke up feeling fresh with a clear mind . that ' s never happened before . # morning # sober [SEP]	0.00 0.17 -0.03 0.04 -0.04 -0.02 -0.07 -0.02 -0.06 -0.03 -0.06 -0.03 -0.04 0.07 -0.01 0.03 -0.11 -0.03 0.10 0.19 -0.94 0.00
1	0.00	[CLS] @ jon ##lov ##ett all that said , you ' re hilarious and smart . love ##tt or leave it is brilliant . please come do a live show in florida ! [SEP]	0.00 0.04 -0.33 -0.18 0.25 -0.10 0.04 0.03 0.09 0.01 -0.09 0.01 -0.36 -0.23 -0.07 -0.23 -0.23 0.08 -0.08 -0.32 -0.08 -0.36 -0.06 -0.07 -0.30 -0.17 -0.16 0.01 0.10 0.17 0.13 -0.04 0.09 0.00
1	0.02	[CLS] can we see the function that creates the output ? and the output itself ? [SEP]	0.00 -0.59 0.02 0.01 -0.17 -0.00 0.10 0.02 0.06 0.11 -0.39 -0.08 -0.27 0.52 0.29 0.00 0.00
1	0.02	[CLS] thank you for the roll ##back . does it appear in < ur ##l > or only in the history ? [SEP]	0.00 0.05 -0.20 0.02 0.08 0.10 0.63 0.07 -0.04 0.16 -0.18 -0.01 -0.06 -0.22 -0.37 0.03 -0.45 -0.08 0.12 0.20 0.09 -0.14 0.00
0	0.97	[CLS] what is this miserable ass weather all about dark and gloom ##y # de ##pressing # week ##off # where ##st ##hes ##un [SEP]	0.00 0.00 -0.18 -0.07 0.67 -0.03 -0.61 -0.01 0.09 0.10 -0.04 -0.30 -0.06 -0.03 0.01 0.01 0.04 -0.01 0.09 0.02 0.09 0.01 0.06 0.04 0.00
1	0.03	[CLS] very important thing for today : do not # bully yourself with # 100 ##day ##so ##fc ##ode believe me , it ruins fun ! [SEP]	0.00 -0.05 -0.00 -0.04 0.00 -0.03 -0.00 0.02 0.08 -0.12 0.08 -0.26 -0.01 -0.03 -0.01 -0.02 0.00 -0.03 0.00 -0.14 -0.09 -0.03 -0.14 0.90 -0.16 -0.01 0.00
1	0.37	[CLS] just waved daughter and her wee friend off to school , walking by themselves # sob # terrifying ! [SEP]	0.00 -0.01 0.07 -0.01 0.07 -0.15 -0.08 -0.23 -0.13 0.07 -0.30 0.34 -0.23 -0.02 -0.11 0.04 0.08 0.54 -0.12 -0.55 0.00
1	0.02	[CLS] @ gun ##gh ##oin ##dal ##las prove ##rb ##s 8 : 13th ##e # fear of the # lord is to hate # evil ; pride and # arrogance and the # evil # way and the per ##verse # mouth [ 1 / 2 ] [SEP]	0.00 -0.02 -0.05 -0.03 -0.03 -0.03 -0.03 -0.06 -0.01 -0.07 0.03 0.03 0.16 -0.02 0.09 -0.13 -0.08 -0.03 -0.02 -0.20 -0.05 -0.16 -0.14 -0.01 -0.20 -0.01 -0.12 -0.02 -0.24 0.78 0.02 0.01 -0.04 -0.31 -0.06 -0.04 0.02 -0.01 -0.02 0.04 -0.00 -0.06 0.02 0.04 0.03 0.04 -0.01 0.00
1	0.02	[CLS] an ex ##hila ##rating futuristic thriller - noir , minority report twists the best of technology around a gripping story , delivering a ri ##vet ##ing , pulse int ##ens ##ifying es ##cap ##ist adventure of the first order [SEP]	0.00 -0.16 -0.22 -0.07 -0.21 0.21 -0.11 0.08 0.24 -0.00 0.05 -0.09 -0.19 -0.02 -0.02 -0.04 0.04 -0.12 -0.05 0.46 -0.16 -0.01 -0.09 -0.02 0.06 -0.28 -0.01 0.04 -0.21 -0.02 -0.01 -0.01 -0.04 -0.01 -0.12 -0.51 0.03 0.03 0.14 -0.10 0.00
1	0.17	[CLS] so . . . you want to implement an exclusive decision tree without using if / eli ##f ? why ? ? ? [SEP]	0.00 -0.59 -0.09 -0.03 -0.02 0.04 -0.29 0.00 0.15 -0.17 0.03 -0.04 -0.15 -0.12 0.06 -0.10 -0.17 0.04 -0.07 -0.09 -0.37 0.30 0.34 0.25 0.00
1	0.00	[CLS] it haunt ##s you , you can ' t forget it , you admire its conception and are able to resolve some of the confusion ##s you had while watching it . [SEP]	0.00 -0.34 0.32 0.18 0.06 -0.06 0.00 -0.05 -0.08 -0.10 -0.00 -0.05 -0.02 0.01 -0.65 -0.12 -0.03 -0.14 -0.20 -0.07 -0.09 -0.11 0.01 -0.05 -0.26 0.13 0.01 -0.06 0.09 0.21 0.01 0.10 -0.21 0.00
1	0.00	[CLS] thanks for the recent follow @ discover ##del ##icio @ john ##mill ##ey ##58 @ orb ##eau ##cus ##tom ##er happy to connect : ) have a great tuesday . [SEP]	0.00 -0.00 -0.48 -0.32 -0.11 0.16 -0.18 0.11 -0.09 -0.00 -0.09 -0.11 0.02 0.05 0.01 -0.13 -0.38 0.06 -0.04 -0.11 0.05 -0.32 -0.01 0.02 -0.02 0.02 -0.03 0.07 0.27 0.29 -0.31 0.00
1	0.26	[CLS] from the opening scenes , it ' s clear that all about the benjamin ##s is a totally formula ##ic movie . [SEP]	0.00 -0.08 -0.15 -0.02 0.25 0.05 0.02 -0.04 0.02 0.00 0.03 0.00 -0.03 0.03 -0.30 -0.02 0.10 -0.18 -0.09 0.32 0.77 0.23 0.08 0.00
1	0.00	[CLS] @ f1 why announcing so late , it will be hard to make it from manchester and organising a day off . # sad [SEP]	0.00 0.01 -0.40 0.20 0.29 -0.00 0.08 0.04 -0.04 -0.14 -0.05 0.04 -0.05 0.04 -0.05 -0.03 -0.08 -0.04 0.10 0.01 0.02 0.24 0.69 0.12 -0.33 0.00
1	0.09	[CLS] a nightmare date with a half - formed wit done a great di ##sser ##vic ##e by a lack of critical distance and a sad trust in liberal arts college bumper stick ##er pl ##ati ##tu ##des . [SEP]	0.00 -0.08 -0.18 -0.04 -0.01 0.04 0.01 0.09 -0.09 -0.29 -0.01 -0.01 -0.05 -0.01 0.01 0.05 0.06 0.01 -0.00 -0.03 -0.02 0.05 -0.05 -0.07 -0.26 0.80 0.03 -0.28 0.02 0.04 0.03 0.16 0.01 -0.01 -0.01 0.03 -0.00 0.07 0.11 0.00
1	0.00	[CLS] @ h ##0 ##llie ##j ##bu ##rrow ##s cong ##rat ##s beautiful [SEP]	0.00 0.04 -0.71 -0.37 -0.16 0.00 0.03 0.03 0.06 0.01 0.15 0.34 -0.43 0.00
1	0.03	[CLS] it ' s so med ##io ##cre , despite the dynamic duo on the mar ##que ##e , that we just can ' t get no satisfaction . [SEP]	0.00 -0.04 -0.01 -0.03 -0.12 -0.51 0.45 0.28 -0.03 -0.14 -0.11 -0.31 -0.30 -0.08 -0.08 -0.21 -0.33 0.16 -0.00 0.01 0.10 0.04 -0.04 -0.04 0.02 0.02 0.06 -0.05 -0.12 0.00
1	0.00	[CLS] best horror comedy movie of 2017 # anand ##ob ##rah ##ma @ ta ##ap ##see # sri ##ni ##vas ##red ##dy . in 2nd half i got throat pain # too ##mu ##ch # laughs [SEP]	0.00 -0.11 -0.03 -0.12 0.00 -0.03 -0.02 0.00 0.01 -0.01 -0.03 -0.01 0.02 -0.03 -0.03 -0.03 0.03 -0.03 0.01 -0.06 0.00 -0.01 -0.03 -0.03 -0.05 0.07 0.02 0.01 -0.43 0.04 0.02 0.06 -0.08 0.06 -0.08 -0.86 0.00
1	0.01	[CLS] more ##tti ' s compelling anatomy of grief and the difficult process of adapting to loss . [SEP]	0.00 -0.38 0.17 -0.34 -0.67 -0.07 0.02 -0.13 -0.24 -0.17 -0.27 0.01 0.23 -0.06 0.11 -0.07 0.08 -0.06 0.00
1	0.01	[CLS] @ dom _ con ##lon its amazing isn ##t it . im a big fan of b & amp ; w but the life these restoration ##s give the photographs is awe inspiring . [SEP]	0.00 0.11 -0.30 -0.05 -0.03 -0.16 -0.16 -0.05 -0.03 0.09 -0.10 0.06 -0.03 -0.09 -0.01 -0.06 -0.13 -0.29 -0.09 0.06 -0.24 -0.10 0.00 -0.23 -0.19 -0.09 -0.31 0.05 -0.03 -0.06 0.05 0.12 0.19 -0.47 0.39 0.00
1	0.25	[CLS] here ' s yet another studio horror franchise mu ##cking up its storyline with g ##lit ##ches casual fans could correct in their sleep . [SEP]	0.00 -0.11 -0.06 -0.08 -0.05 -0.11 0.02 -0.29 0.25 0.36 0.67 -0.01 -0.17 -0.10 -0.14 -0.09 0.19 0.09 -0.31 0.02 0.02 -0.01 0.02 0.01 -0.09 0.13 0.00
1	0.12	[CLS] suffers from the lack of a compelling or com ##pre ##hen ##sible narrative . [SEP]	0.00 -0.89 0.21 -0.07 0.07 -0.01 0.04 0.34 -0.08 -0.04 0.01 -0.02 0.16 0.06 -0.01 0.00
1	0.02	[CLS] hey , i found < ur ##l > and at around 1 : 10 , i think i can see the backs ##tree ##t boys holding platinum discs ( or double platinum , i ' m not sure ) for backs ##tree ##t ' s back and millennium . can you please verify and is it possible to use this as a source for adding south african certification ##s ? [SEP]	0.00 -0.36 -0.12 -0.11 -0.08 -0.07 0.04 -0.02 -0.01 -0.02 -0.03 -0.02 -0.01 -0.00 -0.09 -0.02 0.01 0.01 -0.00 -0.05 -0.08 -0.11 0.07 0.01 -0.04 -0.10 -0.12 -0.01 -0.12 -0.01 -0.03 0.01 -0.03 -0.02 -0.07 -0.03 -0.06 -0.03 -0.03 0.03 -0.05 -0.01 0.03 0.04 0.00 -0.02 -0.05 -0.05 -0.12 0.03 0.00 -0.05 -0.08 0.39 -0.06 -0.07 -0.00 -0.04 -0.02 -0.03 -0.05 0.00 -0.05 -0.00 0.01 -0.10 0.02 0.13 0.55 0.44 -0.09 0.00
1	0.00	[CLS] see you at our # campaign ##master ##class on friday @ hays ##tra ##vel , we ' re very excited and we hope you are too # email ##market ##ing [SEP]	0.00 -0.74 -0.18 -0.11 0.11 -0.08 -0.02 0.03 0.06 -0.03 -0.00 0.06 -0.04 0.06 0.01 -0.08 -0.11 -0.09 -0.03 -0.00 0.01 -0.15 -0.03 -0.17 -0.03 -0.10 0.08 -0.08 0.15 0.15 -0.47 0.00
1	0.06	[CLS] i haven ' t heard from you in sometime . como est ##an las co ##sas ? [SEP]	0.00 -0.23 -0.68 0.05 -0.01 -0.07 -0.21 -0.08 -0.16 -0.54 0.12 -0.17 -0.12 -0.00 -0.13 0.03 0.07 -0.17 0.00
1	0.03	[CLS] okay thanks . any easy way to determine this ? [SEP]	0.00 -0.00 0.15 -0.28 -0.27 -0.38 -0.19 0.28 0.08 0.62 -0.43 0.00
1	0.39	[CLS] i made a change to your user page . is that the change you wanted ? [SEP]	0.00 -0.25 0.45 -0.15 0.07 -0.14 -0.02 0.66 0.38 0.16 -0.23 0.04 -0.04 0.01 -0.14 -0.07 0.04 0.00
1	0.02	[CLS] i think this question it ' s more related to robotics than to coding . have you tried to search into that category ? [SEP]	0.00 -0.38 -0.18 -0.02 0.04 0.03 -0.06 -0.28 -0.01 -0.04 -0.10 -0.16 0.11 -0.16 0.04 -0.12 -0.15 -0.02 0.06 -0.15 -0.16 0.28 0.64 0.25 -0.16 0.00
1	0.14	[CLS] stage 10 horror was reminiscent of rio o ##yl ##mp ##ics . . . route horror , weather horror , crash horror , abandon horrors . [SEP]	0.00 -0.08 0.13 -0.35 0.14 -0.52 -0.05 0.09 -0.03 -0.05 0.01 0.11 -0.11 -0.13 -0.13 0.29 0.04 -0.00 -0.02 0.02 -0.01 -0.10 0.02 -0.07 0.16 -0.50 -0.35 0.00
0	0.97	[CLS] br ##uh l ##ma ##oo & # 82 ##20 ; @ no ##bee ##et ##ch : them ho ##es was nasty but i kept eating them " @ rob ##lock ##k : what the fuck happened to these ? http : / / t . co / g ##9 ##w ##10 ##sm ##q ##dr " & # 82 ##21 ; [SEP]	0.00 -0.02 0.00 -0.01 0.01 -0.01 -0.00 0.01 0.01 0.01 0.03 -0.02 -0.00 -0.01 -0.00 -0.00 0.01 -0.01 -0.04 -0.01 -0.07 0.55 -0.03 -0.03 -0.01 -0.22 -0.01 0.03 -0.01 -0.00 -0.00 -0.01 -0.02 -0.01 -0.01 0.79 -0.09 0.02 0.00 0.03 0.03 0.02 0.01 0.01 -0.00 0.05 0.00 0.01 0.00 0.00 0.00 -0.00 0.00 -0.01 0.01 0.01 0.01 0.00 0.00 0.01 0.01 0.00
1	0.01	[CLS] let ' s hope the ct scan gives us some answers on this lump today # nervous [SEP]	0.00 -0.21 -0.22 -0.53 -0.14 -0.13 -0.11 0.04 -0.14 -0.08 0.04 0.10 -0.16 -0.08 0.38 0.04 -0.12 -0.59 0.00
0	0.99	[CLS] ! ! ! ! ! ! " @ _ _ brighter ##day ##s : i can not just sit up and hate on another bitch . . i got too much shit going on ! " [SEP]	0.00 0.05 -0.06 0.27 0.15 -0.02 0.02 -0.08 0.05 -0.07 -0.08 0.01 0.08 0.02 -0.08 -0.08 -0.14 0.07 -0.00 -0.22 -0.03 -0.21 0.17 0.05 -0.10 0.30 -0.10 0.00 0.03 0.07 0.11 -0.01 0.14 0.19 0.58 0.33 -0.29 0.00
1	0.22	[CLS] people were always afraid that st ##od ##gy squares would kill rock and roll , but the only legitimate threat was ever child chorus ##es . [SEP]	0.00 0.18 0.02 -0.07 -0.20 0.01 -0.03 0.03 0.03 -0.65 0.03 0.01 0.33 -0.09 0.43 -0.11 0.00 -0.11 0.03 0.17 0.21 -0.01 -0.07 0.30 0.02 0.03 -0.01 0.00
0	0.99	[CLS] rt @ girl ##talk ##26 : " real men ask for nude ##s " correction . pussy ass bitch ##es ask for nude ##s . real men are out there working for women & amp ; actually h & # 82 ##30 ; [SEP]	0.00 -0.02 -0.08 -0.06 0.17 -0.02 0.04 -0.01 0.06 -0.03 -0.11 0.01 -0.08 0.03 -0.00 0.07 0.02 0.32 0.02 0.78 0.35 -0.11 0.04 -0.09 0.05 0.08 0.04 0.02 -0.10 0.07 0.01 0.01 0.00 -0.16 -0.03 -0.11 0.04 -0.07 -0.00 0.03 -0.02 -0.01 -0.02 0.07 0.00
1	0.21	[CLS] dr ##o is so damn fine . # ins ##ecure [SEP]	0.00 -0.19 -0.05 -0.33 -0.23 -0.12 -0.84 -0.24 0.10 -0.02 0.13 0.00
0	0.53	[CLS] listening to these refugee children , barely a decade old , describe the horrific acts they were forced to commit is terrifying . # date ##lines ##bs [SEP]	0.00 0.04 0.11 -0.06 -0.07 0.17 0.10 -0.02 0.09 0.08 0.02 0.15 -0.36 -0.08 0.11 -0.13 0.00 -0.01 0.02 -0.04 -0.21 -0.13 0.77 -0.09 0.15 -0.22 -0.06 0.03 0.00
0	0.53	[CLS] government should take strong action against terrorism # amar ##nath ##ter ##ror ##att ##ack not only ka ##di ni ##nda [SEP]	0.00 0.59 -0.22 -0.39 -0.12 -0.06 -0.14 -0.32 0.28 -0.30 -0.06 -0.12 -0.05 0.03 0.04 -0.03 -0.25 -0.22 0.03 -0.07 -0.10 0.00
1	0.25	[CLS] outside has basically become a horror movie where gypsy moths take over the world by fl ##itt ##ing aggressively about . # creature ##dou ##ble ##fe ##at ##ure [SEP]	0.00 0.38 -0.23 0.20 0.00 -0.06 0.08 -0.28 -0.08 -0.54 -0.40 -0.19 0.06 -0.03 -0.10 -0.03 -0.18 -0.10 0.07 -0.26 -0.08 0.01 0.08 -0.12 -0.10 -0.11 -0.01 0.10 -0.07 0.00
1	0.00	[CLS] @ lal ##a loving your book ' the power play ' - it is a serious game change ##r . if nothing else , my dreaming big will land me amongst the stars . [SEP]	0.00 0.01 0.01 0.23 0.00 0.06 -0.02 0.05 0.10 -0.03 0.06 0.01 0.05 -0.01 -0.41 -0.19 -0.12 -0.01 0.08 -0.18 -0.47 -0.23 0.24 0.08 -0.07 -0.11 -0.06 -0.10 -0.34 -0.22 -0.19 0.15 0.14 0.21 0.10 0.00
1	0.01	[CLS] @ food ##fr ##om ##thes ##ky hi ! i ' m curious as to what happened to your growing space in crouch end ? is it just empty ? ! [SEP]	0.00 -0.09 -0.09 0.07 0.21 -0.05 -0.03 -0.14 0.08 -0.19 -0.01 -0.09 -0.41 -0.04 -0.06 -0.28 -0.39 -0.11 0.11 -0.33 0.20 -0.03 0.06 0.11 -0.02 -0.12 0.02 -0.02 0.50 0.07 -0.00 0.00
1	0.00	[CLS] @ john ##may ##er no ds ##m shows . # sadness [SEP]	0.00 0.04 0.02 0.05 -0.03 -0.03 0.10 0.02 0.05 -0.02 0.06 -0.99 0.00
0	0.78	[CLS] if not for g ##z , # tray ##von would be alive right this second . . . smoking a bowl and t ##wee ##ting about " bitch ##es and ho ##es " . such a nice kid he was . . . [SEP]	0.00 -0.00 -0.01 0.01 -0.01 0.04 0.03 -0.09 0.08 -0.00 -0.00 0.03 -0.29 0.08 -0.05 0.04 -0.02 -0.01 -0.15 0.61 -0.17 0.09 -0.02 -0.01 -0.06 0.00 -0.06 0.03 0.55 0.12 0.04 -0.13 0.05 0.05 -0.01 -0.13 -0.12 -0.07 -0.20 -0.12 -0.04 0.05 0.01 -0.10 0.00
0	0.99	[CLS] @ mt ##born ##nard it ' s got good mojo for sure . pay ##backs a bitch [SEP]	0.00 0.22 -0.34 0.06 -0.21 -0.12 -0.08 -0.40 -0.09 -0.02 0.05 -0.27 -0.09 -0.06 -0.11 0.46 0.01 0.53 0.00
0	0.92	[CLS] i broke baby outta his thug stage n turned him into a pussy & # 128 ##51 ##4 ; , it was hard but i did it & # 128 ##12 ##9 ; & # 128 ##53 ##7 ; now he show more feelings than a lit bit [SEP]	0.00 -0.17 -0.01 0.12 0.12 -0.03 0.34 -0.09 0.01 -0.00 0.06 0.06 -0.03 0.86 0.04 -0.06 -0.06 -0.01 -0.09 -0.00 0.09 -0.03 -0.01 0.04 -0.02 -0.02 0.03 0.01 -0.02 -0.01 -0.04 -0.02 -0.06 0.05 -0.01 -0.00 -0.07 -0.01 -0.04 0.06 0.02 -0.03 0.03 -0.03 -0.07 0.06 -0.01 -0.07 0.01 0.00
1	0.27	[CLS] not even proper sentences ? are you currently in an exam ? [SEP]	0.00 -0.27 0.12 -0.36 -0.04 0.09 -0.07 0.31 0.55 0.06 0.08 0.60 -0.07 0.00
1	0.05	[CLS] you could specify whether you need an introduction on applied statistics , or one on ( theoretical ) statistical inference . i . e . , do you want the framework of testing , regression and an ##ova explained or do you want to know what the central limit theorem and the inequality of che ##bi ##ys ##he ##v have to do with the weak law of large numbers ? [SEP]	0.00 -0.22 -0.05 -0.04 0.10 0.03 -0.06 -0.07 -0.10 0.01 -0.08 0.01 0.03 -0.07 -0.17 -0.12 0.02 -0.07 0.02 -0.11 -0.18 -0.02 0.21 0.08 -0.03 0.04 -0.08 -0.06 -0.06 0.11 -0.08 -0.17 -0.10 -0.01 0.03 -0.07 -0.06 -0.08 0.06 -0.06 -0.01 0.03 0.08 -0.05 -0.02 -0.12 -0.09 -0.02 -0.05 -0.06 -0.20 -0.03 -0.11 0.35 -0.08 -0.19 0.02 -0.07 0.04 0.11 -0.13 -0.07 -0.07 0.10 -0.05 0.53 0.02 0.04 0.11 0.10 -0.22 0.00
1	0.04	[CLS] < ur ##l > is brand new and may need some attention . i thought you might be just the person who can help get that article at least secured against sp ##od - attacks ? [SEP]	0.00 0.10 -0.22 -0.09 -0.08 -0.18 0.32 0.08 -0.09 -0.19 -0.14 -0.10 -0.17 -0.08 0.00 0.09 -0.05 0.09 -0.05 -0.11 -0.13 0.15 -0.05 -0.01 -0.08 -0.31 -0.05 -0.46 -0.17 -0.11 -0.24 0.11 -0.23 -0.10 0.02 0.33 -0.02 0.00
1	0.23	[CLS] i will understand if you decline , but would very much like you to accept . may i nominate you ? [SEP]	0.00 -0.21 -0.04 -0.14 -0.02 -0.30 0.49 0.02 -0.06 -0.10 0.03 0.00 0.03 -0.15 0.01 -0.27 0.12 0.36 0.14 0.43 -0.38 -0.05 0.00
1	0.05	[CLS] i think this is off topic but i ' m not 100 % . any thoughts ? [SEP]	0.00 -0.20 -0.06 0.02 -0.26 0.30 0.61 -0.43 0.02 -0.08 -0.09 0.03 -0.09 -0.20 0.38 0.15 -0.13 0.02 0.00
1	0.01	[CLS] hi - how ' s it going ? do you need more time ? [SEP]	0.00 -0.62 -0.03 0.07 -0.07 -0.60 -0.16 0.05 -0.19 -0.05 0.01 0.05 0.39 0.11 -0.09 0.00
0	0.78	[CLS] am i indeed " dish ##ones ##t " by responding to you ? is < ur ##l > correct ? [SEP]	0.00 -0.03 -0.33 -0.04 -0.49 -0.48 0.21 -0.09 -0.04 0.01 0.19 -0.19 -0.19 0.05 -0.18 -0.03 0.32 0.06 0.20 -0.27 0.07 0.00
0	0.55	[CLS] i understand that * part * of the problem behind using cooking oil is that it goes bad and can smell faintly like , well , rotting food . why does cooking oil do this and not chain lu ##be ? [SEP]	0.00 0.20 -0.00 -0.03 -0.10 -0.09 0.25 0.01 -0.16 -0.67 0.07 -0.03 0.15 0.03 -0.05 -0.04 0.03 0.04 -0.25 -0.04 -0.11 0.02 -0.27 -0.12 0.07 -0.08 0.04 -0.06 -0.01 -0.14 -0.32 0.04 0.11 0.10 0.03 -0.06 -0.01 0.01 0.05 0.13 -0.09 -0.14 0.00
0	0.79	[CLS] < person > i find this conversation remarkable given that you have twice opted to edit war over referencing format to the det ##rim ##ent of an article ' s quality in the last 24 hours on < ur ##l > . what gives ? [SEP]	0.00 0.09 0.06 0.06 0.07 0.09 0.24 0.16 0.25 0.02 0.07 -0.02 -0.03 0.05 -0.43 0.03 0.11 -0.26 -0.14 0.16 -0.05 0.01 -0.04 0.42 0.17 -0.02 -0.00 -0.00 0.37 0.02 -0.11 0.10 -0.00 -0.02 -0.06 0.13 0.09 0.04 0.14 0.04 0.04 -0.05 0.23 0.01 0.12 0.13 0.00
0	0.98	[CLS] it is an obvious and strongly followed point that april fools jokes ' ' should not disrupt the running of the wi ##ki ' ' . could you explain why the hell ##s you coated a dozen users ' pages with pictures of jim ##bo ' s ugly bearded fi ##zzo ##gg ? [SEP]	0.00 -0.06 -0.16 -0.12 0.09 0.04 0.01 -0.00 0.07 -0.02 -0.10 0.28 -0.24 0.16 0.11 -0.15 0.06 -0.28 -0.05 0.11 0.03 -0.05 0.01 0.05 0.06 -0.00 -0.02 0.08 0.08 -0.18 0.08 -0.03 0.32 0.05 0.12 0.29 -0.15 0.15 0.27 0.03 0.04 -0.01 0.01 -0.03 0.10 0.08 0.00 -0.06 0.04 -0.47 0.03 0.10 0.04 0.07 0.00
1	0.03	[CLS] where did you get the file from ? what is the name / extension of the file ? [SEP]	0.00 -0.68 -0.13 -0.13 0.00 0.08 -0.38 -0.19 -0.18 0.03 -0.42 -0.09 -0.03 0.06 0.14 -0.04 -0.12 0.02 -0.25 0.00
1	0.07	[CLS] im ##db calls her et ##hyl , not ethel . which is it ? [SEP]	0.00 -0.49 -0.43 -0.15 -0.03 -0.19 -0.38 0.15 -0.05 0.40 0.34 -0.01 -0.17 -0.01 0.20 0.00
0	0.89	[CLS] how about this for a novel solution ? the next time a banned editor posts something to your page , why not del ##ete it yourself with an edit summary of " sorry , i ' m topic - banned from discussing this " ? [SEP]	0.00 -0.14 -0.11 -0.10 -0.02 0.04 -0.26 0.22 -0.03 -0.01 0.05 -0.11 -0.15 0.19 0.22 -0.05 0.02 -0.05 -0.11 0.09 0.00 -0.25 0.01 -0.05 -0.10 0.01 -0.51 -0.00 -0.02 -0.05 -0.11 -0.09 -0.07 0.04 0.03 -0.08 -0.00 0.05 0.07 0.08 0.19 -0.02 0.40 0.16 0.26 -0.15 0.00
